loc,complexity,churn,commit_frequency,developer_activity,files_modified,historical_defects,defect
390,19,107,6,49,7,5,1
92,25,89,2,54,4,0,1
147,21,139,20,73,4,2,1
242,16,17,6,44,7,0,1
280,2,12,10,20,8,5,1
353,3,4,21,56,8,1,1
218,20,110,13,30,1,4,1
156,33,39,2,7,6,4,1
429,27,32,18,46,1,1,1
156,22,1,8,82,6,2,1
477,15,11,30,27,4,3,1
291,16,28,26,61,8,3,1
293,31,146,17,37,2,5,1
95,29,44,20,6,10,5,1
320,32,127,5,89,6,5,1
386,37,123,28,56,7,3,1
17,20,147,21,2,4,2,1
115,3,143,23,61,7,4,1
69,10,50,21,27,5,3,1
444,24,36,28,35,6,5,0
327,11,62,2,22,7,3,0
305,3,100,19,25,8,5,1
190,1,18,15,83,7,1,1
327,7,17,29,16,3,5,1
453,36,65,25,65,9,3,1
70,21,2,7,69,4,1,1
183,13,80,16,3,9,4,1
378,3,81,29,33,9,1,1
121,11,8,21,81,9,2,1
367,21,84,28,29,7,2,1
331,31,143,18,35,2,1,1
266,10,86,26,67,1,3,1
290,35,12,12,98,1,0,1
479,12,150,27,85,7,5,1
213,21,32,27,85,1,4,1
365,15,75,1,97,5,2,1
258,10,34,18,98,3,3,1
46,2,113,15,75,5,2,1
115,20,102,16,54,7,2,1
359,19,112,11,65,5,0,1
195,22,32,21,40,1,2,1
400,30,92,12,51,2,4,1
124,17,96,27,23,6,4,1
194,16,73,15,30,2,1,1
187,22,101,1,57,4,2,1
441,9,106,11,7,6,3,1
496,13,106,3,46,3,2,1
497,16,65,13,45,3,4,1
138,25,85,3,23,3,0,1
195,14,42,24,88,9,4,1
456,1,64,27,90,4,5,1
380,29,105,8,88,2,1,1
363,23,150,5,55,3,3,1
343,17,149,8,45,10,3,0
130,3,65,7,18,5,2,1
288,19,31,26,17,5,0,1
429,35,16,18,94,8,0,1
225,30,136,19,29,4,4,1
32,36,139,12,5,8,1,1
65,2,62,30,32,3,2,1
477,7,149,15,8,6,4,1
142,17,70,29,59,6,2,1
138,32,115,18,19,9,5,1
55,13,67,27,38,4,3,1
465,29,86,6,61,5,3,1
282,34,78,5,96,7,4,1
213,23,35,11,94,9,0,1
39,19,131,23,28,3,4,1
378,37,126,28,55,6,4,1
387,26,51,9,9,10,4,1
406,27,56,21,98,1,2,1
166,18,124,9,47,7,1,1
69,37,69,14,19,3,0,1
67,32,7,6,9,4,3,1
479,37,148,3,16,7,5,1
199,13,114,18,91,1,5,1
120,24,58,27,87,1,5,1
485,25,6,6,98,6,0,1
35,29,127,3,3,6,3,1
50,20,42,21,71,9,4,1
302,20,132,17,22,3,5,1
422,2,25,19,93,7,4,1
281,16,2,23,10,5,2,1
244,16,113,27,23,5,4,1
140,34,119,21,19,10,5,1
80,13,1,29,92,4,5,1
312,32,81,24,76,9,1,1
386,4,87,21,28,5,5,1
496,37,26,2,5,10,2,1
140,17,144,7,84,7,0,1
500,37,107,21,62,10,5,1
14,3,116,16,67,10,1,1
212,4,51,14,62,6,3,1
418,23,68,10,1,2,1,1
64,1,44,22,7,1,0,0
301,13,145,7,32,9,2,1
305,21,19,19,63,7,2,1
390,4,145,14,79,9,4,1
23,16,103,17,28,5,0,1
111,39,33,5,41,5,5,1
193,17,61,20,91,8,2,1
65,30,43,29,20,7,2,1
47,22,41,16,84,6,1,1
424,24,107,5,35,9,4,1
305,10,116,30,17,4,4,1
410,35,50,8,35,3,1,1
32,34,30,26,76,10,2,1
347,39,101,24,58,10,1,1
369,7,120,1,83,2,2,1
73,14,25,21,98,5,0,1
146,39,127,22,36,10,5,1
83,22,90,14,59,4,5,1
71,12,91,4,63,6,0,1
341,15,130,15,83,2,2,1
448,15,147,5,26,4,4,1
87,25,97,9,77,8,1,1
406,11,79,1,15,1,4,1
326,7,61,24,34,3,3,1
215,21,136,20,18,9,4,1
19,28,146,3,95,1,5,1
406,10,101,5,4,3,1,1
398,20,17,24,94,6,3,1
43,13,125,30,4,5,1,1
288,27,133,21,6,6,5,1
266,15,144,24,64,10,4,1
48,12,83,29,75,10,0,1
337,25,98,21,66,7,5,1
272,10,129,26,36,6,3,1
36,16,4,28,89,9,4,1
81,2,57,25,53,7,4,1
423,17,52,19,95,4,2,1
351,33,132,9,85,1,3,1
303,2,118,1,43,9,0,1
293,7,74,29,72,6,4,1
26,28,44,19,54,1,0,1
165,1,16,9,63,10,0,1
135,37,77,20,51,7,2,1
51,28,79,30,9,7,5,1
290,18,59,3,84,6,4,1
308,12,1,24,38,3,1,1
401,25,137,29,28,1,2,1
146,24,129,17,7,7,2,1
468,3,130,25,39,5,4,1
390,34,75,26,17,6,2,1
161,24,56,4,4,2,4,1
447,36,27,20,45,4,1,1
151,37,50,30,97,4,3,1
470,28,90,25,16,10,4,1
186,18,127,11,49,5,1,1
440,26,57,15,29,10,4,1
89,22,139,22,13,1,1,1
394,37,77,21,76,9,3,1
79,37,16,29,23,3,3,1
133,16,124,9,9,10,4,1
19,6,66,23,32,7,4,1
458,10,98,13,43,2,5,1
35,2,51,19,29,7,1,1
378,13,143,5,39,6,3,1
26,13,119,17,68,2,3,1
413,26,145,2,45,1,5,1
491,12,53,12,50,9,1,1
345,21,110,19,3,4,4,1
116,33,93,25,11,2,2,1
143,36,103,9,47,2,2,1
334,35,136,4,61,1,5,1
65,32,141,24,35,7,0,1
201,1,89,16,66,6,2,1
329,11,87,4,67,2,3,1
482,25,49,30,58,1,2,1
38,20,60,4,52,3,3,1
173,32,86,27,7,1,5,1
123,2,137,23,94,7,5,1
127,27,150,10,80,8,2,1
405,16,124,27,80,7,3,1
296,5,34,25,12,3,0,1
390,9,53,18,58,3,2,1
485,22,150,15,51,1,5,1
21,10,44,22,42,2,2,0
347,23,82,1,3,10,2,1
48,21,98,23,52,7,3,1
222,28,50,24,50,1,5,1
481,1,43,26,37,9,4,1
328,24,102,4,70,4,0,1
29,6,3,7,61,1,5,0
227,32,113,13,59,9,1,1
69,35,100,30,63,4,5,1
360,14,140,14,98,7,0,1
359,13,107,19,25,10,5,1
67,1,134,21,52,6,1,1
88,10,112,26,54,7,1,1
383,38,31,18,47,5,0,1
409,30,126,16,71,10,3,1
90,14,119,22,94,8,1,1
437,39,114,23,34,8,1,1
494,24,109,20,67,3,2,1
169,1,69,17,38,4,5,1
458,32,49,1,25,7,3,1
233,30,40,7,30,5,3,1
239,20,126,2,80,1,5,1
176,19,36,7,73,9,5,1
31,35,91,29,4,5,0,1
166,31,17,11,44,6,1,1
317,24,89,10,66,2,4,1
459,20,13,1,20,10,5,1
112,30,144,24,77,10,1,1
97,39,36,3,44,10,2,1
18,19,93,28,1,3,0,1
87,25,22,2,95,8,1,0
23,36,124,26,58,4,3,1
201,13,144,24,8,3,2,1
361,13,67,9,89,10,1,1
166,13,84,6,67,6,2,1
321,8,122,30,15,6,4,1
347,32,73,16,56,9,2,1
401,4,48,4,28,4,0,1
346,16,149,20,20,3,1,1
264,27,47,26,7,8,0,1
278,2,147,9,29,9,5,1
301,23,29,4,39,5,4,1
125,11,43,23,81,8,3,0
213,28,38,4,92,4,3,1
136,30,18,25,27,1,1,1
167,3,32,22,62,3,2,1
460,34,8,23,73,4,4,1
381,38,114,17,54,9,1,1
254,9,67,11,100,5,4,1
15,3,2,28,64,3,1,0
352,22,65,15,100,2,3,1
57,5,54,9,15,9,3,1
346,35,147,7,24,5,5,1
32,2,26,25,8,4,0,1
221,26,132,15,58,8,1,1
480,38,73,16,3,6,2,1
398,20,15,24,88,10,1,1
73,5,134,20,2,5,2,1
214,36,93,4,46,2,1,1
304,36,112,13,45,3,4,1
422,9,35,11,6,1,1,1
308,12,86,4,90,8,0,1
483,15,82,24,21,5,3,1
116,13,106,13,97,10,5,1
340,25,18,8,74,3,5,1
113,30,115,26,42,10,0,1
136,28,148,10,66,6,2,1
437,22,5,6,50,2,5,1
389,40,45,22,13,9,5,1
79,19,94,18,49,10,5,1
55,33,130,26,54,2,2,1
157,8,23,20,60,10,0,1
221,33,108,11,59,5,5,1
109,20,83,23,51,3,1,1
36,36,130,8,6,6,3,1
306,29,69,11,94,5,0,0
47,39,4,5,50,2,0,0
485,7,29,7,28,8,0,1
212,29,26,1,63,5,1,1
341,36,144,19,61,3,2,0
376,20,110,16,94,3,5,1
142,11,133,23,67,2,4,1
491,39,77,5,17,6,2,1
112,12,117,14,69,8,3,1
319,12,8,14,18,7,1,1
123,1,127,4,96,2,2,1
484,7,125,22,85,6,0,1
257,2,117,21,6,1,2,0
394,7,100,6,47,9,2,1
185,15,52,30,46,6,4,1
160,35,135,22,84,6,4,1
315,39,4,11,58,4,1,1
406,5,133,19,42,10,2,1
95,22,124,29,66,7,2,1
400,3,74,6,92,6,5,1
168,39,144,22,17,1,0,1
331,3,25,24,17,2,0,1
369,29,58,12,20,6,5,1
306,3,119,1,57,1,3,1
424,35,19,26,96,3,5,1
203,26,145,5,32,7,2,1
97,29,45,9,17,6,0,1
118,7,142,9,72,7,5,1
154,10,103,24,70,2,4,1
29,35,24,28,29,3,2,1
221,19,70,20,89,10,5,1
467,40,132,6,17,4,4,1
414,35,51,1,57,9,5,1
247,8,26,10,64,4,3,1
57,27,18,13,65,3,5,1
136,30,120,18,74,9,4,1
418,18,24,1,29,7,5,0
239,29,23,18,88,5,3,1
321,22,109,28,5,7,2,1
388,7,25,17,64,4,3,1
453,27,11,16,48,3,0,1
478,32,27,7,15,4,3,1
248,35,147,13,1,3,2,1
51,13,74,30,83,6,2,1
76,7,70,13,85,5,3,1
338,3,15,22,30,8,2,1
185,21,10,4,30,8,5,1
283,26,19,19,59,3,0,0
296,11,147,4,50,5,5,1
363,25,96,26,45,4,1,1
215,34,137,17,29,7,4,1
371,20,109,3,91,10,5,1
144,16,77,23,34,1,2,1
475,14,84,3,58,8,0,1
181,14,22,27,76,10,0,1
491,9,129,8,42,3,3,1
271,11,37,29,95,6,4,0
33,24,107,27,77,5,1,1
39,35,94,2,68,9,0,1
462,33,10,12,57,4,5,1
353,7,32,24,29,3,0,0
383,32,91,16,55,1,0,1
102,10,84,3,100,8,2,1
355,25,83,9,16,1,5,1
81,30,12,16,95,7,4,1
57,29,41,5,19,7,2,1
479,39,53,18,18,2,2,0
91,2,140,17,35,1,2,1
96,4,148,29,40,7,5,1
161,25,101,22,64,5,0,1
83,15,70,3,44,2,0,1
74,39,62,20,49,9,4,1
124,6,109,29,15,1,4,1
108,21,3,24,77,10,2,1
158,7,34,30,30,6,1,1
409,39,78,2,44,6,5,1
163,15,48,17,25,5,5,1
275,40,63,11,94,8,5,1
374,6,12,16,4,5,2,1
169,10,108,10,77,1,1,1
293,12,13,11,13,4,1,1
15,15,31,24,58,2,5,1
75,27,135,26,69,2,0,1
51,20,51,18,53,5,2,1
393,38,40,9,84,1,1,1
141,33,124,18,94,5,3,1
424,26,77,12,34,4,4,1
382,37,88,18,31,9,4,1
460,27,3,4,52,9,2,1
229,38,23,13,58,1,5,1
177,12,80,24,73,6,5,1
264,31,8,21,11,10,1,1
123,27,124,24,39,7,2,1
318,18,7,15,33,7,5,1
190,14,135,7,86,5,0,1
324,8,102,4,99,10,2,1
374,7,61,4,41,1,3,0
288,25,123,14,63,6,2,1
252,32,23,18,35,9,0,1
233,19,78,19,29,3,1,1
227,4,138,25,22,6,4,1
60,38,123,7,54,3,0,1
201,21,88,9,44,5,3,1
456,20,139,14,67,6,3,1
385,29,84,18,59,3,3,1
115,34,98,10,57,2,1,1
380,28,67,5,10,3,1,1
194,4,124,14,32,6,3,1
499,29,32,23,45,7,4,1
291,19,135,21,18,10,3,1
208,9,22,18,94,1,1,0
467,30,39,22,99,9,1,1
420,28,79,27,99,9,3,1
407,19,41,23,17,8,4,1
45,16,14,14,17,4,5,1
414,2,136,22,12,4,0,1
274,30,106,22,87,5,2,1
85,7,118,3,97,10,4,1
77,29,143,9,33,2,5,1
313,19,13,8,78,7,4,1
169,35,102,26,85,9,1,1
30,20,26,22,15,10,5,1
281,17,150,25,94,8,3,1
369,25,35,8,5,3,5,1
172,14,42,5,18,2,4,1
451,32,78,7,96,6,5,1
369,15,85,11,52,3,1,1
109,21,75,17,55,5,4,1
216,1,15,19,94,7,3,0
488,10,94,26,46,5,0,1
337,17,54,3,38,9,1,1
20,30,117,1,4,1,1,1
286,20,148,14,9,3,3,1
129,18,110,18,94,3,5,1
298,11,105,19,61,3,0,1
423,6,139,5,87,7,4,1
192,11,64,22,86,10,3,1
232,11,43,18,3,7,4,1
221,32,54,11,97,9,5,0
40,4,114,9,58,3,1,1
18,2,53,29,44,3,0,0
195,36,79,5,32,9,4,0
171,11,110,16,85,8,2,1
132,2,145,20,35,4,5,1
115,37,79,29,3,2,0,0
63,32,117,25,62,5,4,1
344,3,40,15,31,5,3,0
42,7,40,15,85,4,4,1
211,16,14,29,31,6,5,1
316,20,52,12,47,9,1,1
419,24,146,16,77,9,5,1
361,16,27,10,87,9,0,1
493,34,25,16,39,4,3,1
322,18,81,1,39,10,3,1
15,3,143,25,70,6,1,1
271,26,132,25,89,7,4,1
496,17,122,28,47,6,0,1
125,6,147,18,75,2,1,1
221,22,11,5,68,7,4,1
431,17,126,14,80,3,1,1
322,14,35,27,75,10,2,1
434,2,93,17,72,8,0,1
147,3,29,10,66,7,1,1
267,34,87,5,8,1,2,0
210,29,88,20,55,2,2,1
204,29,63,15,41,4,4,1
64,28,132,15,20,3,3,1
397,40,21,14,44,6,4,1
97,33,31,21,59,8,0,1
67,37,111,23,68,4,5,1
153,33,126,23,15,9,2,1
23,19,121,25,6,9,5,1
421,16,77,21,85,4,5,1
75,22,57,2,50,2,0,1
41,6,49,21,64,9,3,1
232,16,99,22,39,1,3,1
459,30,95,17,97,9,5,1
49,22,29,27,37,10,2,1
265,34,51,27,41,9,0,1
70,19,113,4,30,4,2,0
69,31,103,6,1,9,1,1
51,7,86,7,2,9,0,1
103,16,78,28,85,4,2,1
391,25,24,15,77,2,2,1
473,32,99,5,28,7,0,1
315,34,17,5,54,3,1,1
320,33,113,30,76,9,0,1
303,32,61,25,71,5,2,1
416,22,76,26,77,7,5,1
484,19,147,15,25,6,2,1
334,19,97,5,89,2,4,1
60,1,113,10,79,2,5,1
355,26,8,26,91,5,4,1
40,21,59,15,62,3,2,1
398,28,147,6,59,10,0,1
73,9,19,21,74,2,5,1
74,39,67,15,83,9,0,1
332,17,14,3,34,3,1,0
301,30,2,16,27,7,2,1
245,37,112,21,95,3,5,1
60,17,34,22,43,5,3,1
140,18,143,10,25,4,0,1
218,1,49,12,45,2,2,1
209,10,19,9,1,7,4,1
159,1,140,2,29,1,4,0
324,10,110,25,34,9,4,1
243,31,80,9,23,10,1,1
309,37,18,4,22,5,1,1
302,30,3,8,6,8,3,1
152,15,28,19,12,1,0,0
246,16,127,13,80,4,1,1
400,17,19,18,20,2,2,1
411,17,133,29,8,3,0,1
415,32,22,14,53,2,1,1
47,39,118,13,97,7,5,1
203,33,65,18,14,3,4,1
398,36,138,18,26,4,5,1
324,22,139,14,59,8,2,1
83,38,25,4,96,3,5,1
56,13,62,16,14,8,5,1
43,31,35,6,96,2,2,1
153,23,109,30,57,3,1,1
333,20,25,13,81,4,4,1
263,28,53,13,29,2,4,1
397,32,8,4,43,6,4,1
184,10,86,11,50,6,5,1
83,19,98,18,28,5,2,1
194,19,73,16,46,4,1,1
50,4,145,24,4,3,1,1
417,38,119,1,32,9,0,1
231,17,30,11,30,1,4,1
279,6,99,11,67,3,2,1
493,1,85,27,19,5,5,1
300,9,139,1,47,4,0,1
51,5,149,15,78,6,5,1
69,10,126,4,79,1,4,1
413,18,66,21,73,6,4,1
69,2,6,27,26,8,2,0
15,34,132,25,47,3,3,0
53,10,42,12,71,7,0,1
306,37,85,10,58,9,2,1
57,12,143,26,44,6,0,1
315,24,13,23,27,8,1,1
294,6,149,18,96,6,3,1
112,18,51,9,9,4,4,1
22,25,83,19,98,9,4,1
277,28,7,21,87,5,0,1
280,36,57,15,22,8,4,1
154,22,27,27,13,8,4,1
257,12,27,14,54,2,1,0
339,1,76,11,16,1,5,1
458,18,21,28,55,5,2,1
25,20,21,9,11,3,5,1
318,22,92,5,66,9,4,1
89,1,47,26,20,10,5,1
242,10,116,19,78,7,2,1
150,16,84,11,8,5,2,1
174,7,107,7,77,4,3,1
158,22,57,19,98,4,5,1
17,13,5,5,81,3,2,1
426,3,38,13,91,8,1,1
151,2,129,18,15,9,1,1
374,18,82,12,88,7,1,1
98,7,119,24,15,7,0,1
152,37,62,18,8,2,3,1
394,3,68,20,8,3,0,1
278,17,95,14,68,10,2,1
137,19,94,27,37,6,5,1
363,6,56,10,24,6,0,1
337,28,38,21,4,5,3,1
185,17,59,20,49,2,4,1
33,14,83,3,20,7,5,1
107,33,99,29,46,10,1,1
110,29,83,25,40,7,1,1
143,36,78,18,90,7,0,1
258,8,22,29,27,3,3,1
382,16,20,20,95,3,1,1
426,8,46,16,67,4,2,1
388,27,40,12,77,5,1,1
57,29,12,22,55,1,1,1
424,22,144,12,89,7,4,1
317,14,68,5,55,6,1,1
129,23,150,9,99,7,3,1
226,10,68,19,73,1,3,1
497,7,143,16,24,7,1,1
179,29,98,6,43,3,5,1
48,34,77,10,10,2,2,1
156,25,117,18,91,10,5,1
258,33,139,11,2,1,5,1
236,34,101,16,46,6,5,1
158,18,43,5,93,5,1,1
143,31,99,3,35,2,1,1
119,18,130,16,81,8,4,1
312,23,136,15,85,10,3,1
26,19,83,18,55,3,0,1
27,12,128,18,25,8,2,1
132,20,73,9,81,5,1,1
234,34,76,27,53,10,1,1
417,18,121,24,65,1,0,1
14,11,3,26,58,2,5,1
335,12,115,8,53,8,0,1
269,8,131,21,49,10,3,1
192,22,75,27,25,5,3,1
395,12,56,13,89,1,1,1
286,20,105,15,74,9,4,1
257,36,20,6,50,1,4,1
248,40,59,22,41,4,5,1
485,35,37,19,28,5,2,1
185,19,104,10,39,1,2,1
244,35,132,6,18,8,0,1
382,5,51,18,60,8,5,1
473,23,59,9,35,7,4,1
37,16,107,29,84,7,4,1
287,20,112,8,33,9,2,1
305,8,132,9,81,8,2,1
130,4,17,25,89,7,1,1
176,12,86,2,63,5,2,1
218,26,96,4,57,10,2,1
15,7,85,25,37,9,0,0
469,17,97,11,95,1,1,1
320,35,28,22,75,9,5,1
50,25,92,13,24,2,1,1
86,12,94,15,36,3,1,1
38,23,18,26,56,1,1,0
314,19,36,1,34,9,0,1
108,38,26,1,33,2,0,1
393,23,148,22,72,3,0,1
214,1,143,26,12,3,5,1
492,20,82,17,90,5,4,1
320,33,110,4,71,4,3,1
370,27,111,21,47,4,4,1
78,2,42,2,1,3,4,1
253,8,20,24,51,8,3,1
322,33,144,23,7,6,5,1
345,28,105,1,75,7,5,1
453,14,18,29,88,4,5,1
107,18,82,1,63,10,0,0
377,20,16,17,99,1,1,1
297,1,56,16,17,6,3,1
21,2,128,24,67,1,4,1
201,20,149,24,15,4,3,1
425,11,33,29,70,1,4,1
158,32,146,11,89,7,5,1
232,11,83,23,17,4,1,1
166,8,106,22,100,5,4,1
362,23,102,24,72,5,1,1
307,23,18,22,76,1,2,1
61,7,128,3,95,7,4,1
178,17,106,3,77,4,5,1
295,4,106,30,39,8,1,1
11,38,77,15,7,8,4,1
253,2,63,7,67,9,3,1
261,4,75,22,48,7,0,1
470,28,63,27,4,1,4,1
95,3,33,15,89,8,5,1
250,39,143,28,40,8,3,1
53,23,142,8,3,4,5,1
13,6,109,15,76,4,3,1
403,27,141,22,89,1,1,1
363,14,67,3,19,2,4,1
150,11,94,14,29,4,2,1
466,36,36,9,62,5,3,1
218,11,148,29,41,3,0,1
500,18,124,19,25,10,3,1
375,23,121,6,14,5,0,1
490,32,140,17,23,6,1,1
329,14,75,17,3,4,3,1
53,2,69,19,20,8,4,1
50,19,90,6,1,10,1,1
448,25,110,16,12,1,0,1
338,7,108,10,97,5,2,1
213,15,25,27,65,5,5,1
475,32,13,22,47,10,3,1
289,12,125,15,63,3,4,1
243,3,115,6,29,6,2,1
278,9,28,29,53,4,2,1
296,33,44,18,34,8,0,1
250,6,73,4,51,7,5,1
421,4,85,20,37,2,0,1
258,3,3,12,23,2,1,1
445,20,145,30,79,4,1,1
236,3,39,19,88,9,4,1
337,24,97,17,45,6,4,1
472,36,142,9,25,3,1,1
309,36,88,10,81,3,3,1
366,39,52,6,79,7,0,1
465,24,131,11,53,4,0,1
209,37,21,7,34,5,4,1
138,17,9,10,93,3,1,1
66,27,76,25,57,6,4,1
346,36,128,16,31,7,4,1
405,4,142,13,20,8,5,1
333,30,91,7,34,2,2,1
457,33,103,20,18,6,2,1
306,17,31,21,75,4,5,1
489,40,15,6,19,7,2,1
46,9,38,28,38,9,2,1
15,36,57,3,1,5,4,1
293,24,17,20,38,4,1,1
261,19,29,8,79,4,2,1
477,32,28,16,35,4,1,1
37,15,95,22,93,4,4,1
22,6,5,12,60,3,1,0
247,16,100,19,79,3,2,1
403,6,106,10,31,8,1,1
355,7,2,1,74,2,1,1
90,10,55,1,96,2,4,0
16,9,42,10,76,4,2,0
416,3,83,25,95,3,5,1
92,1,18,20,7,4,1,0
158,19,147,9,19,2,5,0
483,38,90,14,49,6,0,1
84,25,12,30,69,5,2,1
391,20,143,9,80,7,3,0
214,15,27,22,64,4,1,1
443,22,134,16,56,2,5,1
235,15,116,26,51,2,0,1
220,14,16,22,74,3,5,1
315,15,87,2,14,2,5,1
95,18,49,21,42,3,4,1
371,28,28,20,55,7,5,1
498,26,52,8,69,3,0,1
442,12,35,5,8,9,2,1
54,38,32,1,6,8,2,1
161,21,103,1,56,4,2,1
269,11,51,13,33,1,5,1
436,33,38,29,16,4,5,1
344,34,143,15,48,1,5,1
397,25,14,23,50,8,3,0
309,30,17,21,52,10,0,1
